id,no,id_infographic,link,created_at,updated_at
1,1,1,https://i.ibb.co/HT8C9bq/image.png,2020-06-15 03:19:14,2020-06-15 03:19:14
2,1,2,https://i.ibb.co/NFcbHVQ/image.png,2020-06-15 03:23:41,2020-06-15 03:23:41
3,1,3,https://i.ibb.co/mBRzVRd/image.png,2020-06-15 03:29:18,2020-06-15 03:29:18
4,1,4,https://i.ibb.co/Jxm9n7Q/image.png,2020-06-15 05:05:57,2020-06-15 05:05:57
5,1,5,https://i.ibb.co/rtXn81K/image.png,2020-06-15 05:28:36,2020-06-15 05:28:36
6,1,6,https://i.ibb.co/3NnWvPW/image.png,2020-06-15 05:30:39,2020-06-15 05:30:39
7,1,7,https://i.ibb.co/0GfFZDC/image.png,2020-06-15 05:33:26,2020-06-15 05:33:26
8,1,8,https://i.ibb.co/mXS3VQn/image.png,2020-06-15 05:37:22,2020-06-15 05:37:22
9,1,9,https://i.ibb.co/z8FKtFT/image.png,2020-06-15 05:40:00,2020-06-15 05:40:00
10,1,10,https://i.ibb.co/F6Mdk1f/image.png,2020-06-15 05:42:57,2020-06-15 05:42:57
11,1,11,https://i.ibb.co/v3rD40c/image.png,2020-06-15 05:45:26,2020-06-15 05:45:26
12,1,12,https://i.ibb.co/GJXN49H/image.png,2020-06-15 05:51:03,2020-06-15 05:51:03
13,1,13,https://i.ibb.co/LSwHh8y/image.png,2020-06-15 05:55:04,2020-06-15 05:55:04
14,1,14,https://i.ibb.co/6HxmRk5/image.png,2020-06-15 05:56:53,2020-06-15 05:56:53
15,1,15,https://i.ibb.co/bJfj8Fg/image.png,2020-06-15 05:58:37,2020-06-15 05:58:37
16,1,16,https://i.ibb.co/By89rdG/image.png,2020-06-15 10:44:46,2020-06-15 10:44:46
17,1,17,https://i.ibb.co/DtD3dLs/image.png,2020-06-16 21:09:52,2020-06-16 21:09:52
18,1,18,https://i.ibb.co/4fgn3Yz/image.png,2020-06-20 08:59:06,2020-06-20 08:59:06
19,1,19,https://i.ibb.co/yk2Nbvd/image.png,2020-06-21 14:53:40,2020-06-21 14:53:40
20,1,20,https://i.ibb.co/VWgJnCs/image.png,2020-06-22 10:30:32,2020-06-22 10:30:32
21,1,21,https://i.ibb.co/hLfxtQd/image.png,2020-06-22 15:39:32,2020-06-22 15:39:32
22,1,22,https://i.ibb.co/mBpdLf3/image.png,2020-06-25 14:51:05,2020-06-25 14:51:05
23,1,23,https://i.ibb.co/BqQcN9R/image.png,2020-06-25 14:59:35,2020-06-25 14:59:35
24,1,24,https://i.ibb.co/yQPj9C3/image.png,2020-06-25 15:06:22,2020-06-25 15:06:22
25,1,25,https://i.ibb.co/TKVNtdf/image.png,2020-06-27 10:23:20,2020-06-27 10:23:20
26,1,26,https://i.ibb.co/7gxWt5s/image.png,2020-07-01 07:27:17,2020-07-01 07:27:17
27,1,27,https://i.ibb.co/mzDf1my/image.png,2020-07-01 07:30:21,2020-07-01 07:30:21
28,1,28,https://i.ibb.co/9YLbTCJ/image.png,2020-07-01 10:37:59,2020-07-01 10:37:59
29,1,29,https://i.ibb.co/G7KCLs4/image.png,2020-07-04 00:49:14,2020-07-04 00:49:14
30,1,30,https://i.ibb.co/CBkvDQK/image.png,2020-07-04 15:34:50,2020-07-04 15:34:50
31,1,31,https://i.ibb.co/2YdgV37/image.png,2020-07-04 15:30:28,2020-07-04 15:30:28
32,1,32,https://i.ibb.co/rpDy09b/image.png,2020-07-10 16:43:46,2020-07-10 16:43:46
33,1,33,https://i.ibb.co/Tkt8TyC/image.png,2020-07-10 16:44:36,2020-07-10 16:44:36
34,1,34,https://i.ibb.co/Y0m9BGY/image.png,2020-07-10 16:45:15,2020-07-10 16:45:15
35,1,35,https://i.ibb.co/YZwHCdX/image.png,2020-07-15 06:15:04,2020-07-15 06:15:04
36,1,36,https://i.ibb.co/yNC0XwH/image.png,2020-07-15 06:16:37,2020-07-15 06:16:37
37,1,37,https://i.ibb.co/7J79fky/image.png,2020-07-15 06:18:14,2020-07-15 06:18:14
38,1,38,https://i.ibb.co/2S5Cy1c/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
39,1,39,https://i.ibb.co/9NzTCvL/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
40,1,40,https://i.ibb.co/x65SnnG/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
41,1,41,https://i.ibb.co/HKYrssg/image.png,2020-07-21 12:45:42,2020-07-21 12:45:42
42,1,42,https://i.ibb.co/vXSmtw5/image.png,2020-07-21 13:15:50,2020-07-21 13:15:50
43,1,43,https://i.ibb.co/4NhGsv4/image.png,2020-07-21 13:15:50,2020-07-21 13:15:50
44,1,44,https://i.ibb.co/rvmy0wN/image.png,2020-07-21 13:25:23,2020-07-21 13:25:23
45,1,45,https://i.ibb.co/DrL3ydK/image.png,2020-07-22 08:59:14,2020-07-22 08:59:14
46,1,46,https://i.ibb.co/9qxcZCn/image.png,2020-07-22 08:59:14,2020-07-22 08:59:14
47,1,47,https://i.ibb.co/B384V3T/image.png,2020-07-24 11:11:26,2020-07-24 11:11:26
48,1,48,https://i.ibb.co/ngdxWqp/image.png,2020-07-24 11:11:26,2020-07-24 11:11:26
49,1,49,https://i.ibb.co/fGYQcRr/image.png,2020-07-27 04:09:46,2020-07-27 04:09:46
50,1,50,https://i.ibb.co/pfx7PWz/image.png,2020-07-27 04:29:10,2020-07-27 04:29:10
51,1,51,https://i.ibb.co/tXh2Cdp/image.png,2020-07-30 03:58:10,2020-07-30 03:58:10
52,1,52,https://i.ibb.co/X74G3Pf/image.png,2020-07-30 22:16:14,2020-07-30 22:16:14
53,1,53,https://i.ibb.co/bFHZDtS/image.png,2020-08-08 04:22:18,2020-08-08 04:22:18
54,1,54,https://i.ibb.co/sQ3CbRF/image.png,2020-08-08 04:22:42,2020-08-08 04:22:42
55,1,55,https://i.ibb.co/4PyNhHF/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
56,1,56,https://i.ibb.co/ZXBCPGQ/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
57,1,57,https://i.ibb.co/tXb5mfg/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
58,1,58,https://i.ibb.co/2g4CtMb/image.png,2020-08-09 11:46:02,2020-08-09 11:46:02
59,1,59,https://i.ibb.co/fvbgRXQ/image.png,2020-08-09 11:46:02,2020-08-09 11:46:02
60,1,60,https://i.ibb.co/3MyrN05/image.png,2020-08-11 08:59:12,2020-08-11 08:59:12
61,1,61,https://i.ibb.co/RCFgSh6/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
62,1,62,https://i.ibb.co/YL9qNMQ/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
63,1,63,https://i.ibb.co/WsRJVtG/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
64,1,64,https://i.ibb.co/qkCMhB9/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
65,1,65,https://i.ibb.co/yy02BJ8/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
