id,title,link,created_at,updated_at
1,Edukasi Pasien COVID-19 Setelah Rawat Inap,https://www.instagram.com/p/CAO0qIbHf7U/,2020-06-15 03:13:28,2020-06-15 03:13:28
2,Jaga Lansia Dari COVID-19,https://www.instagram.com/p/CAR3yuHnq53/,2020-06-15 03:15:21,2020-06-15 03:15:21
3,Edukasi Balita Mengenai COVID-19,https://www.instagram.com/p/CAZojTyH_C-/,2020-06-15 03:25:42,2020-06-15 03:25:42
4,7 Cara Cek & Cegah Penyebaran Hoaks Saat Pandemi,https://www.instagram.com/p/CApJp5Onr8L/,2020-06-15 05:00:25,2020-06-15 05:00:25
5,Menghadapi Situasi Rumah yang Tidak Nyaman,https://www.instagram.com/p/CAtw-ZyHgpn/,2020-06-15 05:24:34,2020-06-15 05:24:34
6,Protokol Pengiriman Paket Saat Pandemi,https://www.instagram.com/p/CAz2VQ3HAMl/,2020-06-15 05:29:39,2020-06-15 05:29:39
7,Cara Membersihkan & Mendisinfeksi Rumah Pasien COVID-19 ,https://www.instagram.com/p/CA2biMoHToD/,2020-06-15 05:31:44,2020-06-15 05:31:44
8,#DiRumahJo : Momentum Untuk Introspeksi Diri,https://www.instagram.com/p/CA4T5liH0D1/,2020-06-15 05:34:26,2020-06-15 05:34:26
9,Syarat Pelaku Perjalanan Keluar/Masuk Palu,https://www.instagram.com/p/CA-G4yLHFt9/,2020-06-15 05:38:33,2020-06-15 05:38:33
10,Pencegahan COVID-19 Bagi Pekerja di Era New Normal,https://www.instagram.com/p/CBDZ5B2nijY/,2020-06-15 05:40:43,2020-06-15 05:40:43
11,COVID-19 & Anak Muda ,https://www.instagram.com/p/CBF4U6rHpY-/,2020-06-15 05:44:03,2020-06-15 05:44:03
12,Reaksi Emosi Saat Pandemi,https://www.instagram.com/p/CBLISSTH4GU/,2020-06-15 05:48:13,2020-06-15 05:48:13
13,COVID-19 Tidak Menyebar Melalui Makanan,https://www.instagram.com/p/CBNvtzFHygp/,2020-06-15 05:52:38,2020-06-15 05:52:38
14,Tukang Cukur di Masa Pandemi,https://www.instagram.com/p/CBVpCcbnPU0/,2020-06-15 05:55:56,2020-06-15 05:55:56
15,Stop Stigmatisasi,https://www.instagram.com/p/CBX3XJdHxRW/,2020-06-15 05:57:55,2020-06-15 05:57:55
16,Tips Keluar/Masuk Rumah di Tengah Pandemi,https://www.instagram.com/p/B-rEP8aH-xm/,2020-06-15 10:44:08,2020-06-15 10:44:08
