id,day,date,total_vaccination_target,first_vaccination_received,second_vaccination_received,cumulative_first_vaccination_received,cumulative_second_vaccination_received,health_worker_vaccination_target,health_worker_first_vaccination_received,health_worker_second_vaccination_received,cumulative_health_worker_first_vaccination_received,cumulative_health_worker_second_vaccination_received,elderly_vaccination_target,elderly_first_vaccination_received,elderly_second_vaccination_received,cumulative_elderly_first_vaccination_received,cumulative_elderly_second_vaccination_received,public_officer_vaccination_target,public_officer_first_vaccination_received,public_officer_second_vaccination_received,cumulative_public_officer_first_vaccination_received,cumulative_public_officer_second_vaccination_received
1,1,2021-02-01,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
2,2,2021-02-02,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
3,3,2021-02-03,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
4,4,2021-02-04,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
5,5,2021-02-05,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
6,6,2021-02-06,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
7,7,2021-02-07,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
8,8,2021-02-08,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
9,9,2021-02-09,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
10,10,2021-02-10,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
11,11,2021-02-11,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
12,12,2021-02-12,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
13,13,2021-02-13,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
14,14,2021-02-14,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
15,15,2021-02-15,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
16,16,2021-02-16,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
17,17,2021-02-17,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
18,18,2021-02-18,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
19,19,2021-02-19,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
20,20,2021-02-20,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
21,21,2021-02-21,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
22,22,2021-02-22,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
23,23,2021-02-23,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
24,24,2021-02-24,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
25,25,2021-02-25,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
26,26,2021-02-26,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
27,27,2021-02-27,208265720,0,0,0,0,1468764,0,0,0,0,21553118,0,0,0,0,17327167,0,0,0,0
