day,province_id,date,total_vaccination_target,first_vaccination_received,second_vaccination_received,cumulative_first_vaccination_received,cumulative_second_vaccination_received,health_worker_vaccination_target,health_worker_first_vaccination_received,health_worker_second_vaccination_received,cumulative_health_worker_first_vaccination_received,cumulative_health_worker_second_vaccination_received,elderly_vaccination_target,elderly_first_vaccination_received,elderly_second_vaccination_received,cumulative_elderly_first_vaccination_received,cumulative_elderly_second_vaccination_received,public_officer_vaccination_target,public_officer_first_vaccination_received,public_officer_second_vaccination_received,cumulative_public_officer_first_vaccination_received,cumulative_public_officer_second_vaccination_received
93,72,2021-05-04,2240548,473,1535,81885,61974,24698,1,36,24788,23075,25292,37,295,6084,3790,65471,435,1204,51013,35109
94,72,2021-05-05,2240548,1450,1281,83335,63255,24698,25,60,24813,23135,25292,142,158,6226,3948,65471,1283,1063,52296,36172
95,72,2021-05-06,2240548,787,1564,84122,64819,24698,43,546,24856,23681,25292,67,101,6293,4049,65471,677,917,52973,37089
96,72,2021-05-07,2240548,1319,557,85441,65376,24698,29,13,24885,23694,25292,457,54,6750,4103,65471,833,490,53806,37579
97,72,2021-05-08,2240548,530,543,85971,65919,24698,19,9,24904,23703,25292,131,103,6881,4206,65471,380,431,54186,38010
98,72,2021-05-09,2240548,649,632,86620,66551,24698,10,11,24914,23714,25292,101,49,6982,4255,65471,538,572,54724,38582
99,72,2021-05-09,2240548,0,0,86620,66551,24698,0,0,24914,23714,25292,0,0,6982,4255,65471,0,0,54724,38582
100,72,2021-05-11,2240548,336,611,86956,67162,24698,6,15,24920,23729,25292,113,24,7095,4279,65471,217,572,54941,39154
101,72,2021-05-11,2240548,0,0,86956,67162,24698,0,0,24920,23729,25292,0,0,7095,4279,65471,0,0,54941,39154
102,72,2021-05-11,2240548,0,0,86956,67162,24698,0,0,24920,23729,25292,0,0,7095,4279,65471,0,0,54941,39154
103,72,2021-05-11,2240548,0,0,86956,67162,24698,0,0,24920,23729,25292,0,0,7095,4279,65471,0,0,54941,39154
104,72,2021-05-15,2240548,59,10,87015,67172,24698,7,0,24927,23729,25292,5,0,7100,4279,65471,47,10,54988,39164
105,72,2021-05-16,2240548,367,25,87382,67197,24698,2,0,24929,23729,25292,6,7,7106,4286,65471,359,18,55347,39182
106,72,2021-05-17,2240548,403,977,87785,68174,24698,17,92,24946,23821,25292,169,313,7275,4599,65471,217,572,55564,39754
107,72,2021-05-18,2240548,376,683,88161,68857,24698,10,6,24956,23827,25292,33,91,7308,4690,65471,333,586,55897,40340
108,72,2021-05-19,2240548,976,629,89137,69486,24698,24,17,24980,23844,25292,56,124,7364,4814,65471,896,488,56793,40828
109,72,2021-05-20,2240548,1887,771,91024,70257,24698,37,0,25017,23844,25292,61,27,7425,4841,65471,1789,744,58582,41572
110,72,2021-05-21,2240548,1895,904,92919,71161,24698,11,25,25028,23869,25292,144,134,7569,4975,65471,1740,745,60322,42317
111,72,2021-05-22,2240548,2102,895,95021,72056,24698,31,52,25059,23921,25292,207,194,7776,5169,65471,1864,649,62186,42966
112,72,2021-05-23,2240548,300,640,95321,72696,24698,0,0,25059,23921,25292,0,0,7776,5169,65471,300,640,62486,43606
113,72,2021-05-24,2240548,1786,972,97107,73668,24698,25,42,25084,23963,25292,148,136,7924,5305,65471,1613,794,64099,44400
114,72,2021-05-25,2240548,492,532,97599,74200,24698,9,12,25093,23975,25292,60,178,7984,5483,65471,423,342,64522,44742
115,72,2021-05-26,2240548,349,305,97948,74505,24698,5,0,25098,23975,25292,44,238,8028,5721,65471,300,67,64822,44809
116,72,2021-05-27,2240548,1679,1338,99627,75843,24698,17,47,25115,24022,25292,104,239,8132,5960,65471,1558,1052,66380,45861
117,72,2021-05-28,2240548,1171,1074,100798,76917,24698,9,23,25124,24045,25292,153,172,8285,6132,65471,1009,879,67389,46740
118,72,2021-05-29,2240548,1620,338,102418,77255,24698,18,63,25142,24108,25292,222,15,8507,6147,65471,1380,260,68769,47000
119,72,2021-05-30,2240548,850,195,103268,77450,24698,12,21,25154,24129,25292,133,13,8640,6160,65471,705,161,69474,47161
120,72,2021-05-31,2240548,765,387,104033,77837,24698,9,0,25163,24129,25292,0,64,8640,6224,65471,756,323,70230,47484
121,72,2021-06-01,2240548,282,279,104315,78116,24698,2,0,25165,24129,25292,15,27,8655,6251,65471,265,252,70495,47736
122,72,2021-06-02,2240548,1162,973,105477,79089,24698,14,38,25179,24167,25292,74,56,8729,6307,65471,1074,879,71569,48615
123,72,2021-06-03,2240548,1484,693,106961,79782,24698,22,31,25201,24198,25292,183,113,8912,6420,65471,1279,549,72848,49164
124,72,2021-06-04,2240548,1051,622,108012,80404,24698,11,16,25212,24214,25292,174,150,9086,6570,65471,866,456,73714,49620
