name,is_free
dr. Evans Suryani,1
dr. Flora Asri Wardianti,1
dr. Fortunia Mona Eviani,1
dr. Habibah,1
dr. Jenifer Tiosanna,1
dr. Yanty,1
dr. Kevin Darmawan,1
dr. Michael Aaron Romulo,1
dr. Natalia Stefanie,1
dr. Natasha,1
dr. Abed Nego O Sebayang,1
dr. Ade Saputri,1
dr. Conroy Surya,1
dr. Daniel Sutanto,1
dr. Noverian Yoshua,1
dr. Dora A. Maharani,1
dr. Darlene Bahari,1
dr. Desy Is,1
dr. Dhiya Khoirunnisa,1
dr. Dixon Hovin,1
dr. Rangga Ferdyennizar,1
dr. Ririn Enggy Y,1
dr. Riyan Adiputra,1
dr. Riyo Pungki Irawan,1
dr. Rizki Marfira,1
dr. Ade Dhani Nuraini,1
dr. Shinta Anggia Prawesti,1
dr. Valeria Injilita,1
dr. Wafa Luthfiananda,1
dr. Widyan Putra A,1
"Dr. dr. Febri Endra Budi S, M.Kes.",1
dr. Stella Adevita,1
